         1462369 function calls (1438706 primitive calls) in 1.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 filedialog.py:1(<module>)
       26    0.000    0.000    0.005    0.000 typing.py:2795(_make_nmtuple)
        1    0.000    0.000    0.005    0.005 _npyio_impl.py:1(<module>)
    25268    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.005    0.005 mathtext.py:1(<module>)
        3    0.000    0.000    0.005    0.002 ops.py:1(<module>)
        2    0.000    0.000    0.004    0.002 transforms.py:1(<module>)
        1    0.000    0.000    0.004    0.004 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.004    0.004 numpy_.py:1(<module>)
       64    0.000    0.000    0.004    0.000 core.py:1449(__add__)
        1    0.000    0.000    0.004    0.004 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.004    0.004 header.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _base.py:1435(ExcelFile)
      703    0.002    0.000    0.004    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.004    0.004 plistlib.py:1(<module>)
     9407    0.003    0.000    0.004    0.000 _parser.py:261(get)
       65    0.000    0.000    0.004    0.000 core.py:4081(__init__)
       88    0.000    0.000    0.004    0.000 <frozen zipimport>:64(__init__)
     1663    0.002    0.000    0.004    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.004    0.004 tz.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
     2887    0.002    0.000    0.004    0.000 typing.py:1215(__setattr__)
      870    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       20    0.002    0.000    0.004    0.000 enum.py:1707(convert_class)
      831    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.004    0.004 _secondary_axes.py:1(<module>)
        8    0.000    0.000    0.004    0.000 core.py:5842(__init__)
        1    0.000    0.000    0.004    0.004 texmanager.py:1(<module>)
     28/7    0.000    0.000    0.004    0.001 core.py:4715(leave_whitespace)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.004    0.004 array_manager.py:1(<module>)
 2117/252    0.001    0.000    0.004    0.000 <frozen abc>:121(__subclasscheck__)
      870    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
        3    0.000    0.000    0.004    0.001 numeric.py:1(<module>)
        4    0.000    0.000    0.004    0.001 exceptions.py:1(<module>)
       12    0.000    0.000    0.004    0.000 core.py:1152(parse_string)
       88    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
      443    0.000    0.000    0.004    0.000 core.py:526(copy)
        1    0.000    0.000    0.004    0.004 backend_tools.py:1(<module>)
 2117/252    0.002    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
      118    0.000    0.000    0.004    0.000 rcsetup.py:99(f)
      449    0.002    0.000    0.004    0.000 typing.py:262(_collect_parameters)
     8249    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.004    0.004 numerictypes.py:1(<module>)
      704    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
      574    0.001    0.000    0.003    0.000 enum.py:1561(__and__)
 1941/597    0.003    0.000    0.003    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.003    0.003 statistics.py:1(<module>)
    14746    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 dumper.py:1(<module>)
     1256    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.003    0.003 main.py:300(main)
        1    0.000    0.000    0.003    0.003 distributions.py:1(<module>)
       39    0.000    0.000    0.003    0.000 colors.py:1081(from_list)
       12    0.001    0.000    0.003    0.000 enum.py:918(_convert_)
      444    0.001    0.000    0.003    0.000 copy.py:61(copy)
        1    0.000    0.000    0.003    0.003 _mathtext.py:1(<module>)
        1    0.000    0.000    0.003    0.003 engines.py:1(<module>)
        1    0.000    0.000    0.003    0.003 apply.py:1(<module>)
      160    0.000    0.000    0.003    0.000 {built-in method builtins.all}
      356    0.001    0.000    0.003    0.000 inspect.py:801(_finddoc)
      826    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:232(__init__)
     59/7    0.000    0.000    0.003    0.000 core.py:3923(leave_whitespace)
       64    0.000    0.000    0.003    0.000 util.py:401(replaced_by_pep8)
    85/30    0.000    0.000    0.003    0.000 typing.py:1326(_determine_new_args)
      538    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      422    0.001    0.000    0.003    0.000 typing.py:1174(__init__)
   129/61    0.000    0.000    0.003    0.000 core.py:4015(copy)
     1256    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
    85/30    0.000    0.000    0.003    0.000 typing.py:1355(_make_substitution)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
      273    0.000    0.000    0.003    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.003    0.003 _tricontour.py:1(<module>)
        1    0.000    0.000    0.003    0.003 layout_engine.py:1(<module>)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
      702    0.000    0.000    0.003    0.000 typing.py:730(<genexpr>)
        1    0.000    0.000    0.003    0.003 scales.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
     1023    0.001    0.000    0.003    0.000 typing.py:166(_type_convert)
    32608    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.003    0.003 _fontconfig_pattern.py:55(_make_fontconfig_parser)
     2703    0.001    0.000    0.003    0.000 cbook.py:468(_strip_comment)
      141    0.000    0.000    0.003    0.000 core.py:4109(<genexpr>)
        2    0.000    0.000    0.003    0.001 pickle.py:1(<module>)
       19    0.000    0.000    0.003    0.000 _decorators.py:294(decorate)
       18    0.000    0.000    0.003    0.000 dataclasses.py:568(_init_fn)
        1    0.000    0.000    0.003    0.003 _backend_tk.py:1(<module>)
       62    0.000    0.000    0.003    0.000 __init__.py:866(_open_file_or_url)
    11820    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
   306/12    0.001    0.000    0.003    0.000 core.py:813(_parseNoCache)
        1    0.000    0.000    0.003    0.003 ImagePalette.py:1(<module>)
       19    0.000    0.000    0.003    0.000 rcsetup.py:677(cycler)
    72/12    0.000    0.000    0.003    0.000 core.py:4172(parseImpl)
        1    0.000    0.000    0.003    0.003 series.py:263(Series)
      185    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.003    0.003 _constants.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pywintypes.py:1(<module>)
       10    0.000    0.000    0.003    0.000 util.py:412(_inner)
     4605    0.002    0.000    0.003    0.000 {built-in method builtins.sorted}
      246    0.000    0.000    0.003    0.000 {built-in method builtins.any}
       60    0.000    0.000    0.003    0.000 contextlib.py:132(__enter__)
